"en","a begonia","a"
"en","a begonia","begonia","fas","intrusion"
"en","a being","a"
"en","a being","being"
"en","a blast","a"
"en","a blast","blast"
"en","a bunch","a"
"en","a bunch","bunch"
"en","a car","a"
"en","a car","car"
"en","a clock","a"
"en","a clock","clock"
"en","a dog","a"
"en","a dog","dog"
"en","a drill","a"
"en","a drill","drill"
"en","a friend","a"
"en","a friend","friend"
"en","a frito","a"
"en","a frito","frito"
"en","a function","a"
"en","a function","function"
"en","a lie","a"
"en","a lie","lie","fas","intrusion"
"en","a look","a"
"en","a look","look"
"en","a manger","a"
"en","a manger","manger","fas","intrusion"
"en","a mindlink","a"
"en","a mindlink","mindlink","fas","intrusion"
"en","a mute","a"
"en","a mute","mute"
"en","a nominee","a"
"en","a nominee","nominee","fas","intrusion"
"en","a noun","a"
"en","a noun","noun"
"en","a okay","a"
"en","a okay","okay"
"en","a one","a"
"en","a one","one"
"en","a place","a"
"en","a place","place"
"en","a pluck","a"
"en","a pluck","pluck","fas","intrusion"
"en","a sail","a"
"en","a sail","sail"
"en","a seed","a"
"en","a seed","seed"
"en","a skill","a"
"en","a skill","skill"
"en","a something","a"
"en","a something","something"
"en","a stand","a"
"en","a stand","stand"
"en","a tide","a"
"en","a tide","tide","fas","intrusion"
"en","a tutor","a"
"en","a tutor","tutor"
"en","a vastness","a"
"en","a vastness","vastness","fas","intrusion"
"en","a wallet","a"
"en","a wallet","wallet"
"en","a warning","a"
"en","a warning","warning"
"en","able body","able"
"en","able body","body"
"en","able to","able"
"en","able to","to"
"en","able-body","able"
"en","able-body","body"
"en","accent light","accent"
"en","accent light","light"
"en","achilles sore","achilles"
"en","achilles sore","sore"
"en","achilles sores","achilles"
"en","achilles sores","sores"
"en","act like","act"
"en","act like","like"
"en","added it","added"
"en","added it","it"
"en","adobe sound","adobe"
"en","adobe sound","sound"
"en","adult minded","adult"
"en","adult minded","minded"
"en","aero bar","aero"
"en","aero bar","bar"
"en","aero force","aero"
"en","aero force","force"
"en","after blow","after"
"en","after blow","blow"
"en","after flu","after"
"en","after flu","flu"
"en","after hours","after"
"en","after hours","hours"
"en","air balloon","air"
"en","air balloon","balloon"
"en","air bubbles","air"
"en","air bubbles","bubbles"
"en","air control","air"
"en","air control","control"
"en","air dare","air"
"en","air dare","dare"
"en","air date","air"
"en","air date","date"
"en","air hose","air"
"en","air hose","hose"
"en","air lift","air"
"en","air lift","lift"
"en","air out","air"
"en","air out","out"
"en","air route","air"
"en","air route","route","fas","intrusion"
"en","air stewardess","air"
"en","air stewardess","stewardess"
"en","air traffic","air"
"en","air traffic","traffic"
"en","air vent","air"
"en","air vent","vent"
"en","airbrake","air"
"en","airbrake","brake","fas","intrusion"
"en","airbud","air"
"en","airbud","bud"
"en","airdog","air"
"en","airdog","dog"
"en","airflight","air"
"en","airflight","flight"
"en","airfoam","air"
"en","airfoam","foam"
"en","airhose","air"
"en","airhose","hose"
"en","airplace","air"
"en","airplace","place"
"en","airsoft","air"
"en","airsoft","soft"
"en","airwell","air"
"en","airwell","well"
"en","alfredo sauce","alfredo"
"en","alfredo sauce","sauce"
"en","all about","about"
"en","all about","all"
"en","all bran","all"
"en","all bran","bran","fas","intrusion"
"en","all bright","all"
"en","all bright","bright"
"en","all day","all"
"en","all day","day"
"en","all deal","all"
"en","all deal","deal"
"en","all dressed","all"
"en","all dressed","dressed","fas","intrusion"
"en","all encompassing","all"
"en","all encompassing","encompassing"
"en","all here","all"
"en","all here","here"
"en","all season","all"
"en","all season","season"
"en","all sense","all"
"en","all sense","sense"
"en","all sorts","all"
"en","all sorts","sorts"
"en","all through","all"
"en","all through","through"
"en","all time","all"
"en","all time","time"
"en","all way","all"
"en","all way","way"
"en","all-bran","all"
"en","all-bran","bran","fas","intrusion"
"en","allbright","all"
"en","allbright","bright"
"en","alpha toxins","alpha"
"en","alpha toxins","toxins","fas","intrusion"
"en","ambrose apples","ambrose"
"en","ambrose apples","apples"
"en","an apple","an"
"en","an apple","apple"
"en","anchor semi","anchor"
"en","anchor semi","semi"
"en","and or","and"
"en","and or","or"
"en","angel cake","angel"
"en","angel cake","cake"
"en","angel food","angel"
"en","angel food","food"
"en","angle vale","angle"
"en","angle vale","vale","fas","intrusion"
"en","angora sweater","angora"
"en","angora sweater","sweater"
"en","anjou pear","anjou"
"en","anjou pear","pear"
"en","ankle socks","ankle"
"en","ankle socks","socks"
"en","another time","another"
"en","another time","time"
"en","ant farm","ant"
"en","ant farm","farm"
"en","ant hills","ant"
"en","ant hills","hills"
"en","ant hole","ant"
"en","ant hole","hole"
"en","ant like","ant"
"en","ant like","like"
"en","ant trap","ant"
"en","ant trap","trap"
"en","anti crescent","anti"
"en","anti crescent","crescent"
"en","anti delirium","anti"
"en","anti delirium","delirium","fas","intrusion"
"en","anti intergence","anti"
"en","anti intergence","intergence","fas","intrusion"
"en","anti modal","anti"
"en","anti modal","modal","fas","intrusion"
"en","anti pardon","anti"
"en","anti pardon","pardon"
"en","anti warfare","anti"
"en","anti warfare","warfare","fas","intrusion"
"en","antiaircraft gun","antiaircraft"
"en","antiaircraft gun","gun"
"en","any place","any"
"en","any place","place"
"en","any question","any"
"en","any question","question"
"en","apple bee","apple"
"en","apple bee","bee"
"en","apple bread","apple"
"en","apple bread","bread"
"en","apple cake","apple"
"en","apple cake","cake"
"en","apple cider","apple"
"en","apple cider","cider"
"en","apple computer","apple"
"en","apple computer","computer"
"en","apple core","apple"
"en","apple core","core"
"en","apple crisp","apple"
"en","apple crisp","crisp"
"en","apple dumplings","apple"
"en","apple dumplings","dumplings","fas","intrusion"
"en","apple jack","apple"
"en","apple jack","jack"
"en","apple juice","apple"
"en","apple juice","juice"
"en","apple pie","apple"
"en","apple pie","pie"
"en","apple pit","apple"
"en","apple pit","pit"
"en","apple sauce","apple"
"en","apple sauce","sauce"
"en","apple seed","apple"
"en","apple seed","seed"
"en","apple stand","apple"
"en","apple stand","stand"
"en","apple store","apple"
"en","apple store","store"
"en","apple strudel","apple"
"en","apple strudel","strudel"
"en","apple yard","apple"
"en","apple yard","yard"
"en","applecore","apple"
"en","applecore","core"
"en","applecrisp","apple"
"en","applecrisp","crisp"
"en","aqua fitness","aqua"
"en","aqua fitness","fitness"
"en","arc sine","arc"
"en","arc sine","sine"
"en","arch enemy","arch"
"en","arch enemy","enemy"
"en","archery alkalosis","alkalosis"
"en","archery alkalosis","archery"
"en","are not","are"
"en","are not","not"
"en","arm bike","arm"
"en","arm bike","bike"
"en","arm rail","arm"
"en","arm rail","rail"
"en","armour all","all"
"en","armour all","armour"
"en","army god","army"
"en","army god","god"
"en","art attack","art"
"en","art attack","attack"
"en","art gallery","art"
"en","art gallery","gallery"
"en","art school","art"
"en","art school","school"
"en","arthroscopic surgery","arthroscopic"
"en","arthroscopic surgery","surgery"
"en","as ever","as"
"en","as ever","ever"
"en","as for","as"
"en","as for","for"
"en","as in","as"
"en","as in","in"
"en","as it","as"
"en","as it","it"
"en","as or","as"
"en","as or","or"
"en","as such","as"
"en","as such","such"
"en","ash tree","ash"
"en","ash tree","tree"
"en","ask me","ask"
"en","ask me","me"
"en","at lost","at"
"en","at lost","lost"
"en","at me","at"
"en","at me","me"
"en","at most","at"
